Epoch,Learning Rate,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Validation Precision,Validation Recall,Validation F1 Score,Validation pAUC
1,0.0001,0.21269186706718615,0.9375947117805481,0.2084768397303728,0.9460932612419128,0.2222222238779068,0.050632912665605545,0.0824742242693901,0.05785100009662768
2,0.0001,0.1854449029525985,0.9519842863082886,0.17862812236237985,0.9521502256393433,0.0,0.0,0.0,0.058731922569008256
3,0.0001,0.18094752962894486,0.9524386525154114,0.16488924307318834,0.9521502256393433,0.0,0.0,0.0,0.10279254034206199
4,0.0001,0.16668928650338294,0.9504695534706116,0.22906331316782877,0.9115687608718872,0.2751677930355072,0.5189873576164246,0.359649121761322,0.1267336618674912
5,0.0001,0.15818280567851475,0.9510754346847534,0.1461770414518049,0.9533615708351135,1.0,0.025316456332802773,0.04938271641731262,0.1297967597513447
6,1e-05,0.14282217062109911,0.9527416229248047,0.14131947896944788,0.9545729756355286,0.5625,0.2278480976819992,0.3243243098258972,0.10740490224498336
7,1e-05,0.14104716191833147,0.9547107219696045,0.1380107208656577,0.9533615708351135,0.5454545617103577,0.15189872682094574,0.23762376606464386,0.12310690243823876
8,1e-05,0.14138814423611198,0.952893078327179,0.13524464216942972,0.9545729756355286,0.5588235259056091,0.2405063360929489,0.3362831771373749,0.13477469642799622
9,1e-05,0.14247374339164168,0.9522871971130371,0.13682642292517883,0.9551786780357361,0.5757575631141663,0.2405063360929489,0.3392857015132904,0.12436789383837404
10,1e-05,0.13818585550511517,0.955013632774353,0.13908674797186485,0.9521502256393433,0.5,0.17721518874168396,0.2616822421550751,0.1186684703836119
11,1.0000000000000002e-06,0.13957222669884778,0.9536504149436951,0.13805440412117884,0.953967273235321,0.5428571701049805,0.2405063360929489,0.3333333432674408,0.12013560086320736
12,1.0000000000000002e-06,0.13885832134778228,0.9533475041389465,0.13846764577409396,0.9545729756355286,0.5625,0.2278480976819992,0.3243243098258972,0.11766354237124356
13,1.0000000000000002e-06,0.1386636618596776,0.9533475041389465,0.13368961673516494,0.9545729756355286,0.5555555820465088,0.2531645596027374,0.3478260934352875,0.13379553580056042
14,1.0000000000000002e-06,0.13970023989317498,0.9524386525154114,0.13707847986370325,0.9503331184387207,0.4615384638309479,0.2278480976819992,0.3050847351551056,0.12668051663606786
15,1.0000000000000002e-06,0.13779216282213655,0.9544077515602112,0.13623964220571977,0.953967273235321,0.5405405163764954,0.2531645596027374,0.3448275923728943,0.12442587045447223
